adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
COSTA RICA,CARTAGO,ALVARADO,"COSTA RICA, CARTAGO, ALVARADO",CRI,14485,CR-C,NA,2013-01-01,2013-12-31,2013,0,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,CANAS,"COSTA RICA, GUANACASTE, CANAS",CRI,14495,CR-G,NA,2013-01-01,2013-12-31,2013,2712,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,ABANGARES,"COSTA RICA, GUANACASTE, ABANGARES",CRI,14493,CR-G,NA,2013-01-01,2013-12-31,2013,1068,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,BAGACES,"COSTA RICA, GUANACASTE, BAGACES",CRI,14494,CR-G,NA,2013-01-01,2013-12-31,2013,1192,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,LIBERIA,"COSTA RICA, GUANACASTE, LIBERIA",CRI,14499,CR-G,NA,2013-01-01,2013-12-31,2013,3630,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,CARTAGO,EL GUARCO,"COSTA RICA, CARTAGO, EL GUARCO",CRI,14487,CR-C,NA,2013-01-01,2013-12-31,2013,18,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,CARTAGO,JIMENEZ,"COSTA RICA, CARTAGO, JIMENEZ",CRI,14488,CR-C,NA,2013-01-01,2013-12-31,2013,0,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,CARTAGO,LA UNION,"COSTA RICA, CARTAGO, LA UNION",CRI,14489,CR-C,NA,2013-01-01,2013-12-31,2013,30,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,CARTAGO,OREAMUNO,"COSTA RICA, CARTAGO, OREAMUNO",CRI,14490,CR-C,NA,2013-01-01,2013-12-31,2013,92,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,CARTAGO,PARAISO,"COSTA RICA, CARTAGO, PARAISO",CRI,14491,CR-C,NA,2013-01-01,2013-12-31,2013,58,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,CARTAGO,TURRIALBA,"COSTA RICA, CARTAGO, TURRIALBA",CRI,14492,CR-C,NA,2013-01-01,2013-12-31,2013,1178,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,HEREDIA,FLORES,"COSTA RICA, HEREDIA, FLORES",CRI,14506,CR-H,NA,2013-01-01,2013-12-31,2013,390,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,HEREDIA,SAN ISIDRO,"COSTA RICA, HEREDIA, SAN ISIDRO",CRI,14508,CR-H,NA,2013-01-01,2013-12-31,2013,208,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,HEREDIA,SAN PABLO,"COSTA RICA, HEREDIA, SAN PABLO",CRI,14509,CR-H,NA,2013-01-01,2013-12-31,2013,214,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,CARRILLO,"COSTA RICA, GUANACASTE, CARRILLO",CRI,14496,CR-G,NA,2013-01-01,2013-12-31,2013,2770,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,HOJANCHA,"COSTA RICA, GUANACASTE, HOJANCHA",CRI,14497,CR-G,NA,2013-01-01,2013-12-31,2013,666,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,LA CRUZ,"COSTA RICA, GUANACASTE, LA CRUZ",CRI,14498,CR-G,NA,2013-01-01,2013-12-31,2013,830,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,HEREDIA,SARAPIQUI,"COSTA RICA, HEREDIA, SARAPIQUI",CRI,14513,CR-H,NA,2013-01-01,2013-12-31,2013,2798,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,NANDAYURE,"COSTA RICA, GUANACASTE, NANDAYURE",CRI,14500,CR-G,NA,2013-01-01,2013-12-31,2013,1080,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,NICOYA,"COSTA RICA, GUANACASTE, NICOYA",CRI,14501,CR-G,NA,2013-01-01,2013-12-31,2013,7272,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,SANTA CRUZ,"COSTA RICA, GUANACASTE, SANTA CRUZ",CRI,14502,CR-G,NA,2013-01-01,2013-12-31,2013,5818,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,GUANACASTE,TILARAN,"COSTA RICA, GUANACASTE, TILARAN",CRI,14503,CR-G,NA,2013-01-01,2013-12-31,2013,516,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,HEREDIA,BARVA,"COSTA RICA, HEREDIA, BARVA",CRI,14504,CR-H,NA,2013-01-01,2013-12-31,2013,128,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,HEREDIA,BELEN,"COSTA RICA, HEREDIA, BELEN",CRI,14505,CR-H,NA,2013-01-01,2013-12-31,2013,278,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,NA,NA,COSTA RICA,CRI,61,CRI,NA,1980-01-01,1980-12-31,1980,0,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
COSTA RICA,NA,NA,COSTA RICA,CRI,61,CRI,NA,1981-01-01,1981-12-31,1981,0,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
COSTA RICA,NA,NA,COSTA RICA,CRI,61,CRI,NA,1982-01-01,1982-12-31,1982,0,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
COSTA RICA,HEREDIA,SAN RAFAEL,"COSTA RICA, HEREDIA, SAN RAFAEL",CRI,14510,CR-H,NA,2013-01-01,2013-12-31,2013,196,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,HEREDIA,SANTA BARBARA,"COSTA RICA, HEREDIA, SANTA BARBARA",CRI,14511,CR-H,NA,2013-01-01,2013-12-31,2013,230,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,HEREDIA,SANTO DOMINGO,"COSTA RICA, HEREDIA, SANTO DOMINGO",CRI,14512,CR-H,NA,2013-01-01,2013-12-31,2013,204,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,ALAJUELA,VALVERDE VEGA,"COSTA RICA, ALAJUELA, VALVERDE VEGA",CRI,14484,CR-A,NA,2013-01-01,2013-12-31,2013,92,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,PUNTARENAS,PARRITA,"COSTA RICA, PUNTARENAS, PARRITA",CRI,14529,CR-P,NA,2013-01-01,2013-12-31,2013,2240,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,SAN JOSE,ACOSTA,"COSTA RICA, SAN JOSE, ACOSTA",CRI,14531,CR-SJ,NA,2013-01-01,2013-12-31,2013,24,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,SAN JOSE,ALAJUELITA,"COSTA RICA, SAN JOSE, ALAJUELITA",CRI,14532,CR-SJ,NA,2013-01-01,2013-12-31,2013,262,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,SAN JOSE,ASERRI,"COSTA RICA, SAN JOSE, ASERRI",CRI,14533,CR-SJ,NA,2013-01-01,2013-12-31,2013,138,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,SAN JOSE,CORONADO,"COSTA RICA, SAN JOSE, CORONADO",CRI,14550,CR-SJ,NA,2013-01-01,2013-12-31,2013,116,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,SAN JOSE,CURRIDABAT,"COSTA RICA, SAN JOSE, CURRIDABAT",CRI,14534,CR-SJ,NA,2013-01-01,2013-12-31,2013,176,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,SAN JOSE,DESAMPARADOS,"COSTA RICA, SAN JOSE, DESAMPARADOS",CRI,14535,CR-SJ,NA,2013-01-01,2013-12-31,2013,898,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,SAN JOSE,ESCAZU,"COSTA RICA, SAN JOSE, ESCAZU",CRI,14537,CR-SJ,NA,2013-01-01,2013-12-31,2013,72,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
COSTA RICA,SAN JOSE,GOICOECHEA,"COSTA RICA, SAN JOSE, GOICOECHEA",CRI,14538,CR-SJ,NA,2013-01-01,2013-12-31,2013,262,Total,Admin2,Year,WHOPAHO-CRI-20132019-Y01-00,PAHO
