YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR
2000,1,1,26.86,22.96,24.62,0.23
2000,1,2,26.2,22.48,24.1,0.13
2000,1,3,26.38,22.12,24.12,0.3
2000,1,4,26.5,21.86,24.16,0.52
2000,1,5,27.04,23,24.62,0.21
2000,1,6,26.4,22.56,24.39,0.1
2000,1,7,26.6,22.6,24.52,0.57
2000,1,8,26.54,22.98,24.42,0.96
2000,1,9,26.79,22.66,24.32,3.68
2000,1,10,27.06,22.49,24.32,0.94
2000,1,11,27.27,21.7,24.41,0.05
2000,1,12,27.42,23.02,24.99,0.73
2000,1,13,27.43,23.36,25.15,4.09
2000,1,14,28.29,23.77,25.59,2.11
2000,1,15,27.74,23.88,25.47,1.47
2000,1,16,27.29,23.62,25.04,1.81
2000,1,17,27.18,22.97,24.78,1.85
2000,1,18,26.46,22.82,24.46,3.87
2000,1,19,27.41,22.76,24.81,0.16
2000,1,20,27.65,23,25.12,0.64
2000,1,21,28.32,23.57,25.45,2.33
2000,1,22,27.21,23.28,25.01,8.83
2000,1,23,27.88,23.22,25.34,0
2000,1,24,27.37,22.69,25.04,0.75
2000,1,25,27.18,22.61,24.92,1.23
2000,1,26,28.2,23.7,25.51,0.55
2000,1,27,28.7,23.31,25.61,0.55
2000,1,28,28.18,23.56,25.46,0.23
2000,1,29,28.3,22.92,25.17,0.13
2000,1,30,27.74,22.35,24.78,0.54
2000,1,31,27.45,22.53,24.94,0.02
2000,2,1,27.56,22.75,25.07,0.07
2000,2,2,28.18,24.09,25.89,0.04
2000,2,3,28.08,24.27,25.78,0.69
2000,2,4,27.85,24.17,25.66,1.53
2000,2,5,26.39,23.89,24.99,5.75
2000,2,6,27.71,25.02,26.21,0.95
2000,2,7,28.8,24.58,26.23,0.75
2000,2,8,29.02,24.58,26.47,0.2
2000,2,9,29.33,23.65,26.25,0.71
2000,2,10,28.58,24.52,26.26,0.53
2000,2,11,28.5,23.32,25.7,1.09
2000,2,12,28.37,22.85,25.57,0
2000,2,13,28.83,23.57,26.05,0
2000,2,14,29.28,23.88,26.41,0.05
2000,2,15,29.39,23.35,26.11,0.32
2000,2,16,28.48,23.44,25.9,0.17
2000,2,17,28.83,24.1,25.9,1.54
2000,2,18,28.49,22.46,25.56,0.35
2000,2,19,28.73,23.66,25.96,0.55
2000,2,20,29.5,24.31,26.33,0.8
2000,2,21,29.31,23.6,26.1,2.98
2000,2,22,28.78,24.27,26.15,1.11
2000,2,23,29.26,23.07,25.7,3.62
2000,2,24,28.88,23.92,26.1,0.23
2000,2,25,28.97,24.76,26.52,0.09
2000,2,26,29.32,24.68,26.32,0.34
2000,2,27,28.65,24.2,26.05,0.25
2000,2,28,29.43,24.26,26.47,0.2
2000,2,29,29.48,24.66,26.76,0.22
2000,3,1,30.83,25.26,27.42,0.02
2000,3,2,30.02,25.06,27.2,0.06
2000,3,3,29.69,25.04,27.1,0.01
2000,3,4,29.99,24.62,26.94,0.22
2000,3,5,27.83,24.7,26.12,0.26
2000,3,6,28.14,25.18,26.32,1.65
2000,3,7,28.45,24.35,26.16,0.69
2000,3,8,28.74,24.3,26.02,1.05
2000,3,9,28.98,24.26,26.35,0.75
2000,3,10,30.19,24.86,26.95,0.09
2000,3,11,29.64,24.73,26.85,0.03
2000,3,12,29.93,24.25,26.98,0.02
2000,3,13,30.48,25.49,27.6,0.17
2000,3,14,29.93,25.23,27.24,0.1
2000,3,15,30.13,24.91,27.22,0.04
2000,3,16,30.2,23.82,26.91,0.28
2000,3,17,29.44,24.58,26.79,0.27
2000,3,18,28.6,24.47,26.25,0.39
2000,3,19,28.5,24.38,26.13,0.16
2000,3,20,29.63,23.75,26.5,0.21
2000,3,21,30.03,23.63,26.63,0.19
2000,3,22,30.39,23.71,26.87,0.1
2000,3,23,30.33,24.39,27.09,0.1
2000,3,24,29.36,24.61,26.63,0.52
2000,3,25,29.55,23.74,26.42,0.48
2000,3,26,29.88,23.93,26.53,0.92
2000,3,27,28.87,24.81,26.39,0.14
2000,3,28,29.48,24.93,26.75,0.01
2000,3,29,30.47,25.42,27.48,0.01
2000,3,30,31.03,25.31,27.73,0.01
2000,3,31,31.17,24.53,27.73,0.55
2000,4,1,30.04,25.2,27.34,3.63
2000,4,2,30.2,24.78,27.41,0.07
2000,4,3,29.86,25.15,27.25,0.9
2000,4,4,30.78,24.94,27.51,1.9
2000,4,5,31.21,24.87,27.53,0
2000,4,6,31.11,25.73,27.91,0.04
2000,4,7,31.11,24.51,27.58,0.2
2000,4,8,31.57,25.89,28.22,0
2000,4,9,31.24,27.02,28.52,3.01
2000,4,10,28.82,26.17,27.23,3.45
2000,4,11,29.72,25.82,27.45,0.62
2000,4,12,30.04,25.61,27.32,0.32
2000,4,13,30.27,24.46,26.81,4.12
2000,4,14,27.8,24.55,25.66,11.51
2000,4,15,28.3,24.19,25.85,4.68
2000,4,16,29.23,24.12,26.24,3.97
2000,4,17,29.43,24.97,26.79,2.98
2000,4,18,28.83,24.68,26.52,1.22
2000,4,19,28.3,24.43,26.51,0.69
2000,4,20,29.97,24.83,27.18,0.45
2000,4,21,30.03,25.39,27.35,0.49
2000,4,22,29.52,24.64,26.73,2.21
2000,4,23,28.08,24.64,26.22,2.53
2000,4,24,27.76,25.12,26.38,1.06
2000,4,25,28.76,25.02,26.39,1.76
2000,4,26,29.27,24.72,26.52,1.78
